orf	mRNA	Protein	Length	dN	CAI
YPR031W	33.24825447	1730236.76	2247	0.227599031	0.1454
YBL010C	41.22323056	103748415.4	843	0.227800151	0.1218
YPL137C	90.95897514	223661275.2	3831	0.227900394	0.1645
YPL074W	59.41318647	83160509.67	2265	0.228000574	0.1096
YGR235C	199.4758608	532762465.9	702	0.228000986	0.1517
YML103C	100.0011397	603244396.9	4968	0.228100563	0.1534
YDR077W	3497.966391	16226126.13	1017	0.228199976	0.5195
YNL221C	149.6873015	244535664.4	2628	0.228201411	0.1236
YNL167C	86.35802595	103774508	1944	0.228300686	0.1135
YHR017W	98.12562806	193225714.3	1158	0.228499323	0.114
YOR017W	84.58987027	73406327.14	2403	0.228500186	0.1285
YGR072W	70.12014108	243440025.4	1164	0.228899928	0.1522
YNL186W	422.5551539	418705475.2	2379	0.229000529	0.1705
YOR256C	80.04136514	48257412.5	2430	0.229101509	0.1294
YDR137W	81.68454921	182910448.6	1992	0.229300177	0.1123
YDR310C	128.9474608	515168700.3	3189	0.22960059	0.1337
YDL053C	214.9886017	872916255.5	558	0.229700094	0.1265
YKR077W	65.4834627	1558666694	1092	0.229800132	0.1149
YJL178C	271.9838812	1431788833	816	0.229999405	0.1512
YPR169W	202.8395445	431903674.1	1545	0.230000437	0.1661
YJL210W	111.4786705	23997042.86	816	0.230299829	0.0924
YML049C	59.28939919	125942685.7	4086	0.230501111	0.132
YER050C	210.1811173	247280401.5	609	0.230799948	0.1263
YCR071C	101.5712044	1091446869	441	0.230900459	0.1064
YDR530C	64.78946421	264132435.5	978	0.230900812	0.1406
YGR111W	81.25872054	529938932.4	1203	0.231100839	0.1471
YHR091C	92.86850222	163883333.3	1932	0.231201546	0.1091
YIL110W	123.4086649	625057055.5	1134	0.231299527	0.1529
YDR295C	57.33961421	414992084.2	2025	0.231600807	0.1281
YNL215W	85.32303486	352529238.1	963	0.231800035	0.1383
YBR167C	67.36312432	176836428.6	423	0.232000264	0.1594
YDR183W	52.81654514	227669531.6	693	0.232400396	0.1256
YOR297C	86.91687147	323569305.4	579	0.233399144	0.1071
YER128W	48.20533611	247347466.7	612	0.233400762	0.1562
YGL237C	43.36889447	92439750.13	798	0.233499884	0.1168
YGR112W	31.11503243	226601827.9	1170	0.233500371	0.1246
YPR186C	42.04297944	34709547.75	1290	0.233600585	0.1275
YEL041W	17.75766871	159991328.6	1488	0.233799975	0.1104
YGL198W	292.402777	133719433.3	708	0.233900669	0.0741
YER149C	69.788132	661762819.2	1263	0.234100478	0.1273
YLL032C	34.56763056	341338293.6	2478	0.234399852	0.1469
YOR111W	47.57525946	259865242	699	0.234698904	0.1455
YBL067C	62.96992568	234711265.6	2244	0.235099041	0.1453
YDR356W	41.21189432	1233347535	2835	0.235199986	0.1525
YHR059W	69.81649389	315094853.8	393	0.235300713	0.1543
YGL142C	72.13914447	105366714.3	1851	0.23530072	0.1089
YBR022W	74.12314806	838945146.1	534	0.235700871	0.1171
YNL125C	109.0398014	46470751	2022	0.236100099	0.152
YIL050W	68.85200861	124803048.6	858	0.236499445	0.1313
YFL013C	84.04752757	326441158.3	2079	0.236500647	0.1344
YFL049W	54.88175132	369197608.6	1872	0.236799128	0.1431
YFR007W	45.44966568	305522809.8	1062	0.236899934	0.1527
YIL010W	116.2634459	776569047.4	648	0.237101385	0.1443
YER047C	36.44852971	94166885.23	2694	0.237498953	0.1311
YHR163W	285.3039603	946078260.1	843	0.237799936	0.1584
YBR122C	177.8950419	219121270.9	534	0.237800686	0.1743
YKL098W	86.91961459	27513328	1074	0.238000619	0.0968
YEL001C	482.5607452	244554264.4	678	0.238300614	0.1603
YFL027C	93.03219865	62542196.63	1494	0.238300663	0.1211
YML062C	100.7571522	580382564.9	1179	0.238599979	0.1077
YGL005C	70.05340263	211895170.5	840	0.238700117	0.1171
YFR005C	119.8959482	110613895.9	1347	0.238701176	0.1212
YHR138C	129.5520309	155580970.2	345	0.23880055	0.1702
YCL051W	69.21197	54280542.86	1752	0.238900377	0.1208
YGL108C	70.15933361	536991554	423	0.239300081	0.1255
YBR199W	333.7053819	890348744.3	1395	0.239400235	0.1335
YBL095W	75.73629457	101194386.3	813	0.239600075	0.1214
YGL222C	43.44209938	312212105.8	528	0.239600329	0.1323
YMR262W	55.07936432	84370875	942	0.240199977	0.1035
YDR056C	219.6538625	236129372.1	618	0.240700886	0.1518
YLR084C	135.1142028	895463.625	3663	0.240899549	0.1215
YGL228W	208.1107072	1170884419	1734	0.241300121	0.1737
YAL014C	122.2723689	107562428.6	768	0.241700241	0.0997
YGL153W	113.6379986	407521694.8	1026	0.241800032	0.1375
YDR498C	109.215007	411243113.8	1152	0.242400383	0.1398
YML014W	103.8196531	65611916.55	840	0.242600752	0.1241
YPR104C	46.74262026	1369447068	2811	0.24260076	0.1056
YOR324C	40.52756263	7432473.25	1809	0.242601318	0.1207
YDL107W	39.39871971	132234829.5	1056	0.2427989	0.1149
YHR161C	100.829635	185956577.9	1914	0.242799941	0.1187
YIL095W	33.80706486	261828356.5	2433	0.24280016	0.1375
YOR275C	55.36938703	1629002860	1986	0.242899472	0.1328
YGL111W	128.9850426	978003083.6	1392	0.24299974	0.1269
YOR174W	147.8603963	231412702.1	855	0.243200516	0.147
YLL033W	23.56185972	49877500	693	0.243299018	0.1093
YGL160W	62.33905222	164056714.3	1713	0.243399057	0.1248
YMR149W	541.599933	736657984.8	861	0.243500729	0.1925
YIL114C	136.9336533	1018927653	846	0.244200095	0.1305
YAL047C	31.26512833	116794829.9	1869	0.244400562	0.1431
YCL045C	311.8944034	1577824217	2283	0.244500189	0.1651
YGR093W	92.09643474	541157658.5	1524	0.24459974	0.113
YER092W	119.8107169	1206692153	378	0.24460047	0.0943
YDR451C	82.86550324	43491500	1062	0.24509999	0.1326
YPL015C	93.15809706	201134249.1	1074	0.245199498	0.1421
YGL241W	60.6242103	927321867.1	3015	0.245899603	0.1425
YDL030W	60.06001226	66315739.75	1593	0.246199956	0.1337
YPR049C	36.56803667	35934938.14	3537	0.246300897	0.1271
YNL100W	162.3634682	785956177.1	705	0.246900412	0.1059
YJR062C	54.62838243	436920550.3	1374	0.247100917	0.1249
YOR126C	77.98434912	454175326.3	717	0.247199588	0.1363
YNL249C	41.44553429	56044381.88	1629	0.247598964	0.1304
YDR440W	53.32997697	87996000.33	1749	0.247799178	0.1259
YER142C	58.01417946	66508285.71	891	0.247999444	0.1341
YKL101W	131.8562046	325122857.1	4557	0.248000099	0.1295
YEL042W	215.0706043	1451192057	1557	0.249000809	0.2269
YBL055C	90.25797027	885191278.8	1257	0.249200108	0.1252
YGR031W	88.48558389	165561948.9	1029	0.249500709	0.0908
YOR205C	76.11193421	71508492.13	1671	0.249999997	0.1094
YKL011C	45.162005	157352392.9	1062	0.250099962	0.112
YNL058C	143.4632957	31375850.13	951	0.250300261	0.1564
YMR047C	153.7573195	1254174526	3342	0.250900554	0.1206
YGR003W	41.75789722	74565446.5	2235	0.250999915	0.1249
YGL110C	55.02976971	118714711	1875	0.251000519	0.14
YDL112W	194.7572784	1910316715	4311	0.251300682	0.1468
YJR043C	87.85536216	402815577	1053	0.251499992	0.143
YKR007W	101.9710019	199028819.8	555	0.251599776	0.097
YKL047W	50.71415243	476455982.2	1551	0.251699809	0.128
YDR131C	36.65562946	36844600	1671	0.25209975	0.1316
YFL029C	53.32679111	1728142000	1107	0.252400138	0.1347
YCR091W	19.63929528	1861430.334	2163	0.252498939	0.1286
YJL098W	114.0600127	602234066	3177	0.252499434	0.1463
YGL145W	67.38735568	662357167.7	2106	0.252701389	0.1625
YKR063C	56.74661528	188108955.9	1509	0.253201026	0.1182
YMR044W	105.7691373	292979535.7	1428	0.253399343	0.1269
YLR199C	77.94625789	1376070710	831	0.253399733	0.1103
YPR143W	278.0905476	982052697	753	0.253500009	0.202
YPL181W	98.83120973	46800755.7	1521	0.253700443	0.1167
YGR251W	83.44515816	385998730.6	591	0.253800489	0.1204
YOR112W	70.26992	690391119.2	2286	0.254000968	0.122
YPR148C	252.0354708	2117814274	1308	0.254200478	0.178
YDL142C	60.95924972	49794539.43	852	0.255900386	0.0815
YDR391C	69.67126395	249914618.2	699	0.256300792	0.1693
YMR026C	72.44945417	86231345	1200	0.256700534	0.0966
YGR166W	51.74939743	327142932	1683	0.256899282	0.1164
YOR216C	93.66201216	783670792.8	1455	0.257101281	0.1658
YDR385W	2658.658507	43833401460	2529	0.257200252	0.7999
YNR051C	221.9713476	1299896605	1548	0.257699494	0.1785
YBR272C	57.69556594	349014502.7	1443	0.257901453	0.1389
YBR216C	43.68074757	38771713.94	2025	0.258599914	0.1414
YMR259C	118.8454624	1924069901	4263	0.258799549	0.1443
YNL119W	81.58459789	586282741.7	1482	0.259200297	0.1515
YGR106C	861.0305429	820964871.4	798	0.259500797	0.2387
YDR490C	84.28197714	184211541.4	2301	0.259799279	0.1077
YKL149C	64.234215	199101515.9	1218	0.259800718	0.1399
YDL098C	55.36407758	158291543.6	585	0.259900682	0.1213
YDL167C	101.1700095	264188223.8	2160	0.259999402	0.1359
YBR271W	70.30031472	105432777.1	1260	0.261099654	0.0945
YHR029C	114.9599639	1132403213	885	0.262201098	0.1567
YAL059W	235.640937	1055822308	639	0.262400764	0.1743
YDR532C	43.02046065	379175922.1	1158	0.26260074	0.1113
YBL009W	55.10665343	27138750	2031	0.262800484	0.1406
YBR086C	504.6674231	2024313350	2841	0.263000829	0.1757
YMR281W	72.22948212	123458166.7	915	0.263200686	0.1479
YCR066W	33.46555972	83762675.75	1464	0.263400654	0.1457
YBR131W	44.2981075	32752720.75	2115	0.264500478	0.1295
YJL047C	30.33803242	158173255.6	2529	0.264800824	0.1233
YPL139C	85.52167789	657540045.7	1383	0.264801016	0.133
YLR309C	134.8188126	1712031532	2736	0.265000071	0.1532
YBL046W	81.46995972	241349014.4	1326	0.265201001	0.1291
YJR015W	270.4282411	9724768.25	1533	0.265301256	0.1323
YPL208W	81.15572053	743375486.6	1752	0.266299477	0.1417
YDL204W	33.92487222	1619125372	1182	0.267100104	0.1843
YOL144W	85.51950758	754799978	1455	0.267300008	0.1377
YKL048C	38.32523162	97724768.63	1923	0.267499872	0.1044
YER088C	257.6400746	342523232.1	2013	0.267699725	0.167
YGL047W	78.03546865	109201772.1	609	0.267799781	0.1249
YJL061W	104.2474545	718513395.7	2142	0.26839898	0.1551
YPL071C	67.96630361	17125916.67	471	0.268399257	0.1324
YIL031W	61.10981972	12623741.67	3105	0.269299644	0.1468
YNL225C	83.58772188	390710000	1746	0.269299901	0.1446
YDL065C	145.2144294	1133543943	1053	0.269599878	0.1506
YNL063W	55.509785	18579300.25	945	0.269600397	0.0971
YGR081C	130.6475143	901356391.2	633	0.270000708	0.1785
YJR083C	45.70454632	275500134.3	930	0.270200273	0.1078
YML005W	47.58001333	120906295.7	1389	0.270201011	0.121
YOL125W	69.04954811	167108163.7	1431	0.271599973	0.1131
YDL003W	111.3076922	204124575.5	1701	0.271699786	0.1359
YKR006C	215.3196203	833302119.3	795	0.272100069	0.1798
YNL278W	65.40403914	34454776.18	3183	0.272200328	0.135
YMR234W	43.37036784	118922018.6	1047	0.27220172	0.1331
YOR127W	78.87400757	154043549.5	3024	0.272400579	0.127
YKL096W	607.2096982	997092723.5	720	0.272501244	0.2796
YPL224C	81.40484184	58998057.63	1350	0.272701658	0.1047
YMR268C	34.19533946	426874096	1335	0.272899873	0.119
YHR133C	441.8783292	417572073.1	876	0.273199764	0.1529
YNL245C	71.38725333	134627007.3	540	0.273300394	0.1151
YBR065C	29.20828639	98721407	1095	0.274200751	0.1067
YOR097C	92.38889622	43547399.75	528	0.274999119	0.086
YKR023W	52.809085	469541262.7	1593	0.275000335	0.1461
YGR193C	137.1179416	1763076004	1233	0.275100852	0.159
YKL122C	358.2068095	69474474.91	504	0.275900643	0.1519
YNL155W	163.90299	182233863.5	825	0.276400111	0.1635
YJL096W	182.5623106	314824660.4	486	0.276400414	0.1607
YBR273C	103.23083	700549585.4	1311	0.277199033	0.1437
YDL073W	77.7179725	53345614.29	2955	0.27730009	0.135
YIL005W	104.7302103	595806772.8	2106	0.277400434	0.147
YOR336W	100.4878411	288385191.5	4098	0.277501018	0.1457
YNL193W	55.70379378	232519606.8	1677	0.277700747	0.1749
YOR266W	51.18632167	175056307.3	1272	0.278201424	0.105
YGR179C	52.67457405	145134836	1221	0.278301177	0.1159
YGL092W	153.3501278	1051123091	3954	0.279000751	0.1344
YJR099W	96.35213469	201238083.3	711	0.279100859	0.1088
YJL176C	59.28867595	893148250.7	2478	0.279300809	0.1476
YER144C	60.18851882	89288662.75	2418	0.280400578	0.1254
YKR078W	34.71480833	198608280.7	1758	0.280500849	0.1334
YKL090W	46.77410083	30816250	1332	0.281199465	0.1191
YHR034C	45.01760676	318011400.9	1035	0.281500118	0.0924
YJR129C	39.12478027	35839444	1020	0.282000856	0.1088
YMR204C	30.1099973	12888039.83	1263	0.282499768	0.1061
YBR071W	82.8574227	54909899.75	636	0.283499834	0.1392
YJR134C	78.54720889	595970033.3	2124	0.28439885	0.1548
YPL180W	69.32621405	159334471.6	2400	0.285501732	0.1252
YGR147C	207.4267925	659361265	867	0.285700336	0.0964
YLR440C	69.59692297	398395659.9	2130	0.285800179	0.126
YDR466W	87.28569486	178127428.6	2697	0.286300681	0.1082
YGR229C	328.2007754	996548458.3	1518	0.286499635	0.1868
YGR156W	61.65314946	221272181.5	1278	0.28670083	0.1215
YML109W	44.60344162	51565418.7	2829	0.286900638	0.1442
YMR060C	81.16252611	326976697.3	984	0.287500606	0.1208
YKL168C	45.50603459	93968711.57	2205	0.288299303	0.1196
YMR157C	85.72688486	248794594.3	768	0.28830099	0.1668
YER105C	107.2672173	599041060.1	4176	0.288800457	0.1325
YML013W	55.72703622	416449806.5	1755	0.289300174	0.139
YLR360W	53.67530054	38848496.13	1320	0.289500745	0.1182
YOL031C	100.0162644	441868221.5	1266	0.289899298	0.1533
YDR494W	141.0940897	891505714.3	1086	0.289900191	0.1286
YDL044C	51.45343629	426970253.7	1323	0.290599485	0.1435
YMR213W	45.30610541	90655723	1773	0.291299738	0.1142
YGR275W	176.7492858	614320142.7	474	0.29160135	0.1203
YNL224C	39.67304324	142249067.2	2304	0.291700377	0.1455
YMR255W	128.311495	280539687	567	0.291801534	0.1384
YER051W	39.63022722	14075012	1479	0.291999747	0.126
YMR059W	70.75142515	30807457.14	447	0.291999841	0.0806
YGL036W	109.3301658	249215185.8	2730	0.293500109	0.148
YHR060W	159.7403066	185183844	546	0.293600711	0.159
YPL067C	51.66395972	741561434	597	0.294801258	0.1093
YDL139C	34.70348969	38761069.5	672	0.295499421	0.1397
YIL112W	84.50561605	122096571.4	3252	0.295499931	0.1391
YGR283C	144.3279186	369687182.8	1026	0.296300561	0.1263
YGR169C	44.38734838	51413768.14	1215	0.296500169	0.1252
YGL185C	47.57510595	193527992.4	1140	0.297500285	0.1323
YLR221C	188.5860813	427884201.5	663	0.297500344	0.1701
YNL118C	125.6620188	1089230673	2913	0.297600756	0.1326
YGL004C	62.08544297	147660225.8	1254	0.297701639	0.1247
YER041W	44.85665528	3824784.381	2280	0.297999339	0.1321
YHL038C	44.913858	324728920.5	1893	0.298200652	0.1368
YER030W	340.9959618	122855545.4	483	0.298300352	0.24
YKL068W	174.6566616	873137345.8	2880	0.298300483	0.1068
YDR358W	53.69135081	474080679.9	1674	0.298698884	0.1409
YMR184W	140.6849178	298824594.6	597	0.299400109	0.1492
YDR103W	88.96659541	91380916	2754	0.299500278	0.1354
YOR078W	229.2195761	1535160814	645	0.300700235	0.1278
YOR037W	42.25824405	86229975.73	1101	0.300801687	0.1104
YDR464W	97.74559486	34417627.04	4308	0.301700907	0.1409
YHR195W	151.406823	545869513.9	966	0.301899896	0.1278
YBR215W	49.08008472	175207581.9	1872	0.302200721	0.1501
YBL074C	17.45115629	63280666	1068	0.302200942	0.1434
YHR152W	245.9161819	41365322.83	522	0.302600692	0.1176
YPR018W	49.40150526	552266843.7	1821	0.302899452	0.1479
YNL103W	101.4195776	64155047.81	2019	0.302999144	0.1246
YOR140W	50.75354667	18857899.17	2301	0.303199377	0.1271
YBR258C	55.37075571	57805565.63	429	0.303400445	0.1436
YDR253C	30.27995868	34278140	576	0.304099169	0.1215
YHL035C	77.95441743	222620881.6	4779	0.304400453	0.1359
YGL159W	90.23194061	352909241.4	1113	0.304701513	0.1698
YDR257C	74.64574703	477615506.1	1485	0.305698976	0.1707
YLR323C	47.42956297	176895999.5	780	0.305699024	0.1192
YFR039C	88.37554417	252452934.3	1533	0.306201139	0.1311
YMR185W	54.14085757	149938681.3	2946	0.307100888	0.1467
YMR282C	58.69171333	272495611.9	1743	0.307101124	0.1157
YKR091W	57.49651294	117521666.7	741	0.307700271	0.093
YMR209C	66.83013622	220472332	1374	0.307799979	0.114
YBL013W	16.2529329	19043698.88	1206	0.308000101	0.0756
YER063W	245.8100797	1832846253	657	0.308200385	0.1897
YMR156C	32.3094127	22078000	717	0.309200845	0.1514
YNL254C	34.7025627	76162399.86	1206	0.309600092	0.1151
YHR146W	280.4240684	1686974427	1398	0.310300774	0.1789
YPL049C	211.9544622	267340626.7	1359	0.310399462	0.0944
YPL267W	77.5784873	10879965.6	630	0.310899334	0.1144
YOR238W	95.28020135	249172395.6	912	0.311401325	0.1595
YDR495C	33.44541121	110878283.1	3036	0.311501361	0.1247
YCR069W	180.5798297	104643633.5	957	0.311900884	0.181
YLL036C	148.6664703	1543499467	1512	0.312201704	0.117
YDL058W	93.02505568	1285044948	5373	0.312300006	0.1716
YOR213C	70.93567711	105603542.4	747	0.312399631	0.0941
YDR113C	68.82274861	54748166.67	1122	0.312399714	0.1311
YIR024C	49.41592081	184161573.6	651	0.312400664	0.139
YOR144C	57.34610152	91707571.43	2376	0.312500909	0.1337
YMR247C	122.1459019	546832012.9	4689	0.312500958	0.1457
YMR029C	87.4767575	1047441629	1572	0.312901432	0.148
YOL088C	127.9624424	717225881.7	834	0.313000759	0.1739
YPL191C	22.31437368	60743255.88	1083	0.314400425	0.1414
YOR278W	68.27419622	113521922.7	828	0.314500197	0.1443
YJR136C	75.61872515	46655924.57	1266	0.314501587	0.1018
YHR083W	140.1333661	228711843.1	990	0.314799327	0.131
YKR020W	47.15073405	192455039.9	495	0.314899943	0.1572
YGR013W	43.03528421	258787597.8	1863	0.314999261	0.1337
YLL022C	108.8372983	385327542.9	1158	0.315899736	0.1366
YML119W	96.07931184	108087785.7	1074	0.316599074	0.1002
YML036W	71.95005	757387142.9	570	0.316700175	0.1087
YDL088C	116.8340414	293407988.1	1587	0.316899352	0.1395
YMR016C	110.8485497	70317133.8	2358	0.317100762	0.1185
YJR003C	101.4766022	339918315.3	1620	0.31939899	0.1326
YDR057W	65.79163344	71561571.43	1629	0.31959926	0.1167
YPL249C	35.66550571	694863548.6	2685	0.319900759	0.1329
YKL195W	254.7672791	1392241310	1212	0.320599798	0.1833
YDR049W	60.81734216	330974113.4	1899	0.322100747	0.1442
YJR122W	55.36280528	85782422.86	1494	0.3227015	0.1465
YDR240C	43.74817972	155690673.4	1479	0.323599732	0.1209
YKR029C	69.11597892	218944736	2256	0.325401377	0.1201
YDR143C	104.4421776	17098294	1833	0.325599619	0.1539
YAL058W	76.37844559	112878845	1509	0.325701613	0.1086
YKR036C	67.52080974	176252198.6	1980	0.32629908	0.1184
YBR172C	166.8206268	1017929070	2223	0.326499556	0.1571
YMR265C	43.27675838	118996500	1386	0.327000119	0.107
YNL234W	40.217315	82415365.83	1281	0.327098811	0.1298
YPL083C	40.98468861	1765898.087	1404	0.327399462	0.1226
YNL214W	35.52753639	28728164	600	0.327400123	0.1171
YMR153W	126.0048642	1776265799	1428	0.328400993	0.1094
YGL223C	92.40870081	270444698.9	1254	0.329900008	0.1664
YIL036W	81.64159162	441869287	1764	0.329900902	0.1455
YDR109C	35.92467583	114410000	2148	0.33049961	0.1192
YGL243W	92.6066403	179681714.3	1203	0.330699593	0.1184
YGR222W	123.32661	113619724.9	882	0.331300834	0.0999
YLR219W	88.56345026	351409274.9	2187	0.331701617	0.1244
YIL063C	154.1687633	910427453.9	984	0.332199689	0.17
YCR060W	127.905143	162291091.9	336	0.332901825	0.0759
YDR206W	114.0900024	845011292.8	2655	0.333800799	0.1168
YPL149W	170.5569312	18082086.57	885	0.337199162	0.1201
YHR154W	74.53819108	580316147.6	3213	0.338799554	0.1317
YPR057W	106.2174084	287378319.3	1026	0.339099531	0.0966
YPL105C	191.8861303	875521980.5	2550	0.340500167	0.162
YNL233W	80.87071903	289777142.9	2679	0.341000915	0.1379
YMR273C	62.77197343	101016909.9	2748	0.34150035	0.1307
YJL161W	26.29976838	147215571.4	543	0.341899261	0.0871
YHR159W	21.56975722	41432500.57	1515	0.34220172	0.0954
YML107C	83.78845486	250771650.6	1005	0.344700965	0.128
YBR278W	71.85052297	49083473	606	0.347200089	0.1178
YKR090W	48.12725811	1097332141	2121	0.347901065	0.1338
YGR102C	96.06233541	132986021.5	552	0.348599622	0.1053
YDR159W	97.66479528	32617709.1	3906	0.348800852	0.1409
YHR127W	132.2081338	380633853.8	732	0.349201178	0.1201
YGR071C	53.14722243	64001881.88	2583	0.349599317	0.127
YOR057W	90.55462737	562471932.2	1188	0.350000654	0.1614
YOR148C	115.6072514	66501094	558	0.351300289	0.126
YFR043C	52.05593892	52840857.14	714	0.351300935	0.1327
YAR002W	164.7689984	1309425435	1620	0.351799309	0.143
YOR188W	78.49104027	166780525.3	3414	0.353600411	0.1273
YJR135C	28.93691189	23625204.33	720	0.360400763	0.1197
YDL089W	72.92707111	83854522.33	1455	0.361000803	0.1447
YHR149C	83.07689054	144671079.6	2205	0.361099906	0.1209
YCL014W	32.14833857	794581659.9	4911	0.361901535	0.1407
YLR335W	202.4196526	2194260616	2163	0.362400587	0.1432
YML071C	77.48103395	481081509.2	1824	0.365899719	0.1497
YMR067C	63.83835472	568336338.4	1251	0.366001837	0.1478
YER032W	57.9544825	118783333.3	2631	0.367601235	0.1399
YNR024W	139.5406147	76102266.89	561	0.367801063	0.1392
YMR240C	58.74785184	290916840.6	1311	0.368100784	0.1251
YPR171W	57.87069389	185730077.7	1731	0.368200191	0.1237
YJL203W	60.19534939	339121561.4	843	0.36990032	0.1398
YDR239C	62.21957167	72995248.61	2364	0.370500456	0.123
YER071C	106.8570459	209811349.9	381	0.370700536	0.1345
YNL133C	40.23795861	356949243.9	522	0.371598967	0.1099
YDR480W	35.63847865	34436218.17	972	0.371900464	0.135
YGR077C	146.3638449	50622804.75	1770	0.374400496	0.1302
YCL061C	63.699118	201933465.1	3291	0.374999163	0.1441
YMR192W	40.70676658	504251044.2	2163	0.37640038	0.1339
YER033C	32.48635813	162013988.8	3231	0.377900446	0.1381
YDR458C	59.68312789	2670589235	1992	0.379301241	0.1287
YHR109W	20.90929278	107974742.3	1758	0.379498933	0.1269
YPR115W	156.8129379	131180287.5	3252	0.380101093	0.1243
YMR294W	43.89386162	83608285.71	1122	0.380301013	0.1451
YPL099C	73.50868054	245324285.7	549	0.380700407	0.1149
YPL186C	21.89541778	103011166.7	915	0.3821008	0.1458
YDR485C	62.87845167	259207298.9	2388	0.384599483	0.1374
YOR166C	72.46779595	79955857.14	1377	0.386400637	0.1584
YNL078W	146.7724835	29740321.13	1224	0.388099826	0.0887
YDL005C	117.7348662	197956249.5	1296	0.388301039	0.1678
YDR179W-A	63.33053069	3810471.8	1392	0.390400852	0.1321
YMR098C	49.69125649	124670554	1839	0.390701116	0.1366
YDR068W	145.6979505	554792807.8	933	0.394899242	0.1806
YIL117C	175.7564111	67788443	957	0.39530081	0.1085
YMR048W	44.23738486	54464023.1	954	0.395400494	0.1356
YHR182W	56.79004667	233262965	2358	0.396900874	0.1336
YOR179C	61.56761811	102037836.6	567	0.400898842	0.121
YPL072W	42.34751111	9669207.143	1500	0.402699932	0.1231
YGL174W	30.65264459	1986876256	801	0.40400054	0.1073
YOR076C	42.11581632	243246279.1	2244	0.404100987	0.1319
YER007W	48.70403694	34048780.63	1557	0.405701986	0.1233
YPL064C	115.3844454	182281045.1	906	0.407700364	0.1303
YGR196C	49.92335838	412062857.1	2454	0.411101412	0.1278
YPR005C	37.01597079	44460833.33	885	0.417201973	0.1163
YOR189W	112.9073868	527420927.5	351	0.419898843	0.1012
YGL057C	42.15610471	129421142.9	864	0.420301113	0.1137
YOR295W	48.89308944	83237091.29	687	0.420401734	0.107
YFL023W	85.51927027	1027610749	2391	0.42159975	0.135
YMR064W	66.56382162	16961914.86	1557	0.42640002	0.1173
YJL020C	102.5371919	1644957875	3474	0.428000617	0.1349
YER034W	40.31961946	556919595.7	558	0.431500988	0.0909
YOL082W	111.6475881	52460906.75	1248	0.433801144	0.1808
YMR316W	57.27171486	50874819.43	1011	0.433899679	0.1158
YOR264W	118.8861349	8758374.2	1293	0.436000929	0.1323
YML101C	119.9843947	162787337.2	354	0.436799601	0.0818
YJR092W	59.23752622	146673508.1	4347	0.444700668	0.1472
YMR086W	73.866055	2084000490	2883	0.445099574	0.1245
YLR442C	71.8515473	277170175.5	2937	0.446599599	0.1224
YKL023W	53.42300605	153442086.5	834	0.447098975	0.1157
YPL193W	62.64785424	73069977.18	1146	0.448800289	0.1199
YNR028W	105.106923	55087128.33	927	0.45010119	0.1368
YDR192C	52.32635417	74988666.67	1293	0.452499831	0.0917
YHR156C	33.79676351	66151349.88	1023	0.457899496	0.1349
YNL173C	122.3695091	818759494.8	1101	0.45969931	0.1359
YIL115C	131.1383428	2060154110	4383	0.465400894	0.1428
YGL254W	38.63486868	81098588.57	900	0.470300374	0.139
YDR478W	50.20647457	122497738.9	597	0.472399752	0.109
YGR042W	76.93278912	27322800	816	0.475001095	0.1204
YDR469W	92.72565946	51733991	528	0.47690103	0.106
YLR390W-A	1311.367585	160967923.5	717	0.47719935	0.3826
YML037C	20.0694873	9878593.571	1023	0.478301492	0.1371
YNL166C	118.0483361	1346217404	1347	0.483199469	0.129
YPR134W	61.8347897	29942857.63	807	0.488302025	0.0967
YDR515W	36.58998757	299595958.2	1344	0.489000701	0.1557
YMR147W	33.35508139	59769166.67	672	0.489500726	0.1357
YIL161W	92.14514531	279689324	708	0.4967022	0.1417
YLL021W	100.2436681	1343362050	4401	0.512499904	0.1451
YMR003W	114.8659965	198092353.1	597	0.516600015	0.1265
YBR194W	56.82745028	124470571.4	372	0.517401849	0.1271
YHR143W	961.3617362	110034833.3	978	0.519599936	0.1778
YJR089W	48.41839182	177149308	2865	0.520101735	0.1344
YPL168W	82.65910824	53553888.38	1293	0.525100184	0.1081
YBR197C	42.7134175	106246670.5	654	0.526600518	0.1054
YGR044C	167.4797149	151778428.6	903	0.527699453	0.1062
YDR061W	96.74043306	412610165.8	1620	0.530799689	0.0991
YDL099W	198.1067238	259365665.2	1026	0.533400058	0.1431
YDR066C	39.86254265	27377811	591	0.538101561	0.0859
YKR010C	57.83027838	91501667.38	2316	0.551400618	0.1299
YOR308C	50.06536294	149975875.1	1764	0.552001566	0.1322
YOR098C	258.8294885	529825929	3231	0.554199628	0.1209
YDR524C	69.717545	161705667.9	1449	0.568099039	0.1448
YNL327W	658.8817592	136914337.3	3126	0.569998636	0.1525
YOR284W	40.05639568	70718758	732	0.57140083	0.1311
YIR003W	77.27214667	883920660.6	2040	0.591602323	0.1328
YKL105C	59.80045324	203957442.3	3399	0.597298937	0.1195
YDR369C	25.96187971	24044059.67	2565	0.61320123	0.1397
YCR067C	135.7281914	116208010.3	3198	0.632400614	0.1337
YGR014W	220.6611538	46115861	3921	0.67200053	0.1184
YOR239W	184.1440837	1068795190	1887	0.992902784	0.221
YJL189W	6240.895697	203480840.6	156		0.9153
YLR388W	3312.757477	922324561.8	171		0.6525
YDL061C	2631.078798	2388427101	171		0.7604
